MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
30.3742,38.6224,1491.5259,28.0000,7266.4551,15.4309,67.5351,1.6814,-1.4237,0.9918,-0.4576,-6.1855,-22.7127,38.8511,15.9661,26.9932,728.6149,29.2000,5010.7803,17.0341,60.5210,1.5950,-1.4470,0.8115,-0.3201,-2.8340,11.0886,43.1740,EF,4
33.5043,43.2344,1868.7974,28.6000,9472.3502,17.8357,76.1523,1.6182,-1.3655,0.8941,-0.4477,-2.3998,-27.4912,46.5593,12.1562,15.2437,232.3693,26.6000,3751.1272,19.4389,60.1202,1.3962,-1.0281,0.6448,-0.3957,-7.4370,15.5191,52.0033,EF,4
47.6022,58.7095,3446.3885,26.4000,12303.5486,16.0321,81.5631,1.6924,-1.4622,0.9840,-0.4926,0.8834,-20.4887,38.1557,12.8881,16.3371,266.8564,28.2000,4259.8971,20.2405,65.3307,1.4311,-1.1259,0.6923,-0.3874,-9.6482,12.2794,42.2980,EF,4
44.0887,54.9881,3023.5647,29.0000,11373.1108,15.0301,77.7555,1.6098,-1.3081,0.8803,-0.4674,2.1127,-11.4512,25.5261,11.7120,14.8047,219.1798,31.2000,4222.5218,20.0401,63.1263,1.3904,-1.1288,0.6514,-0.3240,-7.6023,6.2885,27.6739,EF,4
33.0470,41.7826,1745.7437,30.8000,9883.0972,17.4349,74.3487,1.4317,-1.0635,0.6415,-0.3905,2.2278,-8.3588,17.6995,11.3967,14.2538,203.1706,29.4000,4112.7868,19.8397,61.1222,1.3271,-1.1073,0.7250,-0.4245,-5.4092,5.4219,19.5265,EF,4
34.3013,44.2621,1959.1336,30.0000,10661.1418,18.8377,75.1503,1.5221,-1.2561,0.7479,-0.3863,3.2662,-6.5628,16.1136,13.0048,16.5063,272.4580,29.8000,4557.5287,19.8397,64.3287,1.3632,-1.1282,0.7205,-0.4266,-5.8344,3.7921,19.2546,EF,4
33.6723,43.6733,1907.3564,30.4000,10205.9599,18.8377,74.9499,1.6006,-1.3889,0.8544,-0.4059,4.4024,-2.5305,12.3741,38.3199,55.9172,3126.6626,31.0000,10806.6707,18.6373,74.9499,1.2762,-0.8555,0.5892,-0.4061,-5.7225,-0.4499,16.8460,EF,4
30.9723,39.7503,1580.0622,29.2000,9312.2357,18.0361,74.9499,1.6153,-1.3984,0.8814,-0.4354,3.0915,-0.3644,5.8580,49.5920,65.0119,4226.5424,30.4000,13297.0889,18.0361,79.5591,1.2839,-0.8451,0.5902,-0.4057,-2.5400,-0.8498,8.1088,EF,4
28.7712,36.1301,1305.3813,29.8000,8837.6381,18.0361,75.1503,1.5606,-1.3262,0.8575,-0.4423,1.1276,-0.0012,2.1544,22.8129,36.3729,1322.9752,33.6000,6664.8617,19.6393,67.1343,1.2945,-0.8545,0.5942,-0.4006,0.4111,0.1183,0.9031,EF,4
27.3312,34.9250,1219.7528,31.0000,8635.6077,19.4389,71.1423,1.5138,-1.2815,0.8103,-0.4190,0.0507,0.2310,0.6664,8.5315,10.5609,111.5216,36.0000,3371.1336,20.6413,56.3126,1.1208,-0.8535,0.6195,-0.4133,1.6350,0.1280,-0.3675,EF,4
