MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
18.8577,23.4532,549.9598,33.4000,6215.7097,16.4329,47.6954,1.3325,-1.0509,0.6551,-0.3465,-0.0246,0.0964,-0.1759,13.8040,18.7548,351.7282,35.6000,5340.8677,21.6433,56.7134,1.2778,-1.0263,0.6845,-0.3981,0.2276,-0.5286,-0.3107,EF,4
19.2844,24.2134,586.2689,31.6000,6304.7301,17.2345,48.2966,1.4492,-1.2099,0.7310,-0.3502,-0.1062,0.2674,-0.3737,13.0719,16.8113,282.6136,37.8000,5136.5974,22.4449,55.5110,1.1733,-0.9389,0.6684,-0.4381,0.3488,-0.2825,-0.3222,EF,4
18.2210,22.9107,524.9004,32.6000,6044.4387,17.0341,47.4950,1.4452,-1.1988,0.7485,-0.3765,-0.2273,0.0868,-0.4826,12.2031,15.7954,249.4903,38.6000,4985.4931,21.0421,54.9098,1.1249,-0.9072,0.6161,-0.4058,0.4090,-0.1570,-0.0724,EF,4
15.5553,19.9653,398.6140,32.2000,5549.3557,18.0361,45.8918,1.3553,-1.1223,0.7384,-0.3807,-0.3293,-0.1317,-0.2459,11.0558,14.5076,210.4651,35.2000,4359.7438,18.8377,50.7014,1.1336,-0.8403,0.5459,-0.3448,0.4198,-0.1988,-0.1113,EF,4
15.6346,20.4989,420.1990,32.2000,5398.1478,18.6373,46.0922,1.2786,-0.9357,0.6043,-0.3413,-0.4171,-0.0771,-0.2387,11.7124,15.4438,238.5120,33.8000,4630.3840,20.4409,52.9058,1.1817,-0.9132,0.6108,-0.3585,0.3353,-0.2950,-0.2356,EF,4
16.3009,20.8683,435.4875,31.6000,5301.3582,16.4329,43.6874,1.2879,-0.9351,0.6610,-0.4021,-0.1483,0.0424,-0.2308,10.6966,14.3851,206.9218,36.2000,4566.1738,22.8457,51.5030,1.1548,-0.9278,0.6258,-0.3688,0.2481,-0.3171,-0.3732,EF,4
28.9103,35.3255,1247.8820,28.2000,8207.3227,16.0321,60.1202,1.3094,-0.8782,0.5911,-0.3787,1.4115,-14.8856,42.2556,7.5493,10.1069,102.1440,29.4000,2801.4791,12.0240,28.8577,1.1449,-0.7770,0.5305,-0.3044,-16.8546,0.5210,47.6950,EF,5
23.1135,29.5700,874.3348,27.4000,6456.1471,12.2244,51.1022,1.4311,-1.0229,0.6864,-0.4053,0.8093,-16.8841,47.2960,9.0880,11.5003,132.2383,33.6000,3581.4638,18.4369,41.4830,1.0961,-0.7849,0.5313,-0.3336,-14.3766,1.8185,49.5399,EF,5
22.7160,29.4596,867.8626,28.0000,6342.1444,13.2265,50.7014,1.4793,-1.1181,0.7997,-0.4538,-0.0647,-18.6873,44.0250,10.8024,13.4983,182.1966,37.6000,4356.6915,21.0421,52.1042,1.1479,-0.8783,0.5796,-0.2814,-12.5804,4.3526,46.9122,EF,5
24.6517,31.0878,966.3236,31.2000,6830.0866,14.6293,54.3086,1.4281,-1.0574,0.7917,-0.4525,1.0074,-16.3452,37.4555,12.1971,15.6569,245.1352,34.8000,4794.0426,20.8417,55.7114,1.3125,-1.1086,0.6765,-0.3099,-11.6978,2.8185,39.0251,EF,5
